folder,file,prefix,purpose
atlas_build,NHD_QC_Azimuth+Harmony.R,,"per-library quality control, doublet removal, Azimuth annotation and the first Harmony integration of the single-nucleus libraries."
scripts,01_build_FH_atlas.R,1,Foundation. Re-cluster/normalize the Frontal+Hippocampus data with OCC removed and QC tightened to nFeature_RNA > 200. Mirrors Steps 5-9 of the
scripts,02_TF_activity_FH.R,2,Frontal+Hippocampus-only rebuild (Occipital dropped)
scripts,2A_micro_UMAP_FH.R,2,"Microglia-subset UMAP panels for Figure 2, frontal + HIPPOCAMPUS (2 regions). Port of 48_fig2_micro_UMAP.R."
scripts,2B_micro_program_violins_FH.R,2,Figure 2 panel b (leads): microglial-PROGRAM signature violins across frontal + HIPPOCAMPUS (2 regions). Port of
scripts,2C_micro_volcano_MAST_FH.R,2,"Figure 2 panel c: per-nucleus MAST microglia volcano, frontal + HIPPOCAMPUS (2 regions). Faithful port of the 3-region"
scripts,2D_secretome_MAST_FH.R,2,"Figure 2 panel d: microglial SECRETOME, MAST-forward, frontal + HIPPOCAMPUS (2 regions). Faithful port of _run_3I_secretome_MAST.R."
scripts,2E_states_MAST_GSEA_FH.R,2,"Figure 2 panel e: MAST-forward curated microglia state enrichment by effect-size preranked GSEA (signed winsorized avg_log2FC),"
scripts,2G_micro_region_venn_FH.R,2,"Figure 2 panel g: microglia regional-overlap Venn, frontal vs HIPPOCAMPUS (2 circles). Port of 54_fig2_micro_region_venn.R"
scripts,2H_zhou_validation_FH.R,2,"Figure 2 panel h (CLOSES): cross-cohort validation vs Zhou 2023, frontal + hippocampus. Port of 58_fig2_zhou_validation.R."
scripts,2I_micro_DAM_arrest_FH.R,2,Figure 2 panel I: the DAM-1 -> DAM-2 arrest contrast. frontal + HIPPOCAMPUS (2 regions). Microglia (Micro-PVM).
scripts,2J0_micro_states_cache_FH.R,2,Shared microglial-state cache for Figure 2.
scripts,2L0_pvm_identify_FH.R,2,Is there a resolvable PVM / border-associated macrophage population inside the Micro-PVM subset? diagnostic only.
scripts,2L_pvm_vs_microglia_FH.R,2,PVM / border-associated macrophages vs parenchymal
scripts,2N_immune_UMAP_FH.R,2,Immune-compartment UMAP: Microglia / PVM / T-lymphocytes.
scripts,2O_alt_composition_designs_FH.R,2,"Alternative designs for the NHD immune proportion panel (""generate a couple of alternatives more"")."
scripts,2O_immune_composition_markers_FH.R,2,NHD immune compartment: proportions + three-population marker panel (Microglia / PVM / CD8 T-lymphocyte).
scripts,2Y_compensatory_routes_FH.R,2,which ACTIVATING ROUTES are engaged when DAP12 protein is absent but its transcript is intact?
scripts,3A_micro_glia_chord_FH.R,3,"Figure 3 panel a: CON vs NHD chord plots of the curated micro->glia signalling programme, frontal + HIPPOCAMPUS (2 regions)."
scripts,3B_micro_glia_LR_FH.R,3,"Figure 3 panel b: microglia -> glial-receiver ligand-receptor rewiring, frontal + HIPPOCAMPUS (2 regions). Faithful port of"
scripts,3D_astro_reactive_dotmatrix_FH.R,3,"Compact companion to Figure 3d, frontal + hippocampus. Port of 63_fig3_astro_reactive_dotmatrix.R."
scripts,3D_astro_state_violins_FH.R,3,"Figure 3 panel d: astrocyte reactive-state signature violins + stats, frontal + HIPPOCAMPUS (2 regions). Port of"
scripts,3E_astro_GSEA_dotplot_FH.R,3,"Figure 3 panel e: astrocyte GSEA dot-matrix, frontal + hippocampus. Port of the astro-GSEA part of 45_fig3_astro_oligo_MAST.R."
